;"Alter;Einkommen;Preis;Geschlecht;Zeit;KundeNr"
370;"45;46099.0;84552.86;0.0;41.0;K0605"
371;"55;64604.0;69621.64;0.0;38.0;K0869"
372;"62;81002.0;115409.9;1.0;54.0;K0315"
373;"45;46082.0;78379.94;0.0;34.0;K0514"
374;"58;75531.0;94646.93;1.0;50.0;K1059"
375;"43;37376.0;63383.29;1.0;42.0;K0063"
376;"51;57821.0;93565.3;1.0;43.0;K0282"
377;"46;44038.0;72625.61;1.0;34.0;K0723"
378;"70;84497.0;116193.41;1.0;69.0;K0267"
379;"56;55688.0;94116.03;0.0;49.0;K0561"
380;"66;65063.0;106463.24;1.0;56.0;K0239"
381;"34;53286.0;57023.34;1.0;40.0;K0430"
382;"57;42006.0;50508.57;0.0;32.0;K0146"
383;"52;58873.0;80225.35;1.0;39.0;K1031"
384;"63;73099.0;118236.17;1.0;51.0;K0651"
385;"38;33873.0;56924.35;0.0;28.0;K0623"
386;"43;43130.0;61803.14;0.0;35.0;K0119"
387;"33;43936.0;78850.36;1.0;45.0;K0676"
388;"34;39614.0;56174.25;1.0;26.0;K0515"
389;"40;46710.0;77768.25;0.0;38.0;K0251"
390;"30;45508.0;64916.89;1.0;38.0;K1073"
391;"37;38717.0;56575.12;0.0;34.0;K0286"
392;"66;98881.0;131352.24;1.0;64.0;K0546"
393;"40;43750.0;67687.0;1.0;28.0;K0010"
394;"52;67475.0;93897.2;1.0;37.0;K0458"
395;"34;43470.0;70250.0;1.0;41.0;K0197"
396;"40;39921.0;65687.09;1.0;45.0;K0731"
397;"64;90952.0;116583.47;0.0;61.0;K0371"
398;"38;46715.0;101650.7;1.0;50.0;K0082"
399;"54;75271.0;122250.09;1.0;60.0;K0390"
400;"52;63079.0;100733.46;1.0;46.0;K0529"
401;"48;63876.0;90833.08;1.0;51.0;K0590"
402;"48;54835.0;73324.94;1.0;52.0;K1086"
403;"49;69396.0;86666.48;0.0;52.0;K0993"
404;"61;79130.0;106664.4;1.0;49.0;K0240"
405;"50;32462.0;65554.28;1.0;30.0;K0414"
406;"55;54760.0;86038.6;0.0;45.0;K0212"
407;"34;24264.0;22580.44;1.0;19.0;K0859"
408;"68;1000000000.0;87209.72;0.0;52.0;K0701"
409;"42;52370.0;74270.35;0.0;48.0;K0576"
410;"52;90021.0;124563.89;1.0;64.0;K0228"
411;"58;80881.0;102290.11;1.0;33.0;K1019"
412;"56;68794.0;108744.79;1.0;57.0;K0621"
413;"52;53837.0;64750.35;1.0;22.0;K0487"
414;"35;48208.0;78096.44;1.0;50.0;K0948"
415;"31;45328.0;68156.01;0.0;39.0;K0178"
416;"70;82041.0;106587.98;1.0;44.0;K1067"
417;"42;34792.0;71876.74;1.0;27.0;K0539"
418;"58;73853.0;97928.13;1.0;50.0;K0136"
419;"64;81163.0;124639.62;0.0;60.0;K0589"
420;"69;79059.0;115211.31;0.0;53.0;K0450"
421;"39;39831.0;56301.97;1.0;41.0;K0808"
422;"39;37905.0;61717.86;1.0;32.0;K1101"
423;"52;60315.0;106359.99;1.0;40.0;K0008"
424;"61;64831.0;113585.7;0.0;35.0;K0437"
425;"42;63657.0;84814.32;1.0;40.0;K0156"
426;"44;14547.0;28960.3;1.0;29.0;K0708"
427;"51;55866.0;84704.04;0.0;35.0;K0358"
428;"55;56358.0;105656.62;0.0;49.0;K0645"
429;"30;49623.0;65451.53;1.0;42.0;K0224"
430;"46;67067.0;88579.71;1.0;45.0;K0330"
431;"43;49162.0;84864.12;0.0;43.0;K0594"
432;"31;33788.0;67174.26;0.0;28.0;K0543"
433;"69;87922.0;120453.26;0.0;54.0;K0929"
434;"33;51920.0;54310.26;0.0;38.0;K0555"
435;"37;45690.0;64971.82;1.0;34.0;K0683"
436;"61;64150.0;91908.79;0.0;47.0;K0747"
437;"31;19138.0;21471.65;0.0;37.0;K0845"
438;"55;79452.0;117307.67;1.0;49.0;K0990"
439;"50;42001.0;69941.72;1.0;29.0;K0697"
440;"49;63355.0;111931.58;1.0;45.0;K1066"
441;"67;73998.0;111198.78;1.0;55.0;K0704"
442;"60;61297.0;89077.09;1.0;39.0;K0558"
443;"69;75241.0;128050.39;1.0;44.0;K0932"
444;"56;79198.0;85437.96;1.0;54.0;K1051"
445;"41;53509.0;90805.35;0.0;37.0;K0441"
446;"46;64863.0;101644.17;0.0;45.0;K1052"
447;"57;76586.0;104976.08;1.0;45.0;K0847"
448;"55;68214.0;75900.15;0.0;47.0;K0801"
449;"66;67497.0;117195.91;1.0;55.0;K0164"
450;"60;49925.0;84170.57;0.0;39.0;K0229"
451;"36;48447.0;90879.99;1.0;45.0;K0786"
452;"40;46664.0;59309.97;1.0;36.0;K0873"
453;"32;43819.0;57548.45;1.0;47.0;K0213"
454;"66;88070.0;129089.55;1.0;53.0;K0915"
455;"54;54712.0;92084.38;1.0;35.0;K0080"
456;"40;53774.0;90227.44;1.0;37.0;K0149"
457;"35;44671.0;58157.49;1.0;34.0;K0303"
458;"63;47767.0;81512.67;0.0;53.0;K0761"
459;"39;46774.0;93641.06;1.0;40.0;K0995"
460;"33;52554.0;60796.8;0.0;34.0;K0738"
461;"58;63385.0;93077.19;0.0;41.0;K0718"
462;"49;63769.0;88665.28;1.0;41.0;K0044"
463;"39;36057.0;73098.28;1.0;32.0;K0969"
464;"68;80664.0;122681.63;0.0;63.0;K0134"
465;"66;62298.0;88092.7;1.0;53.0;K0666"
466;"58;48730.0;87338.42;1.0;34.0;K0746"
467;"52;60428.0;102443.11;0.0;43.0;K0600"
468;"50;53438.0;81140.06;1.0;50.0;K0312"
469;"34;25640.0;59338.04;0.0;27.0;K0409"
470;"52;59873.0;76854.89;1.0;39.0;K1077"
471;"34;47144.0;76527.76;1.0;50.0;K0970"
472;"69;62333.0;123546.58;0.0;32.0;K0678"
473;"54;64833.0;93686.46;1.0;54.0;K0940"
474;"58;68532.0;86666.09;0.0;51.0;K0979"
475;"39;35523.0;54246.76;1.0;36.0;K0971"
476;"68;89437.0;114481.9;1.0;62.0;K0001"
477;"65;73513.0;119578.06;1.0;43.0;K0423"
478;"44;51181.0;83060.06;1.0;33.0;K0361"
479;"52;59011.0;88150.0;1.0;45.0;K0383"
480;"47;60557.0;96808.99;0.0;49.0;K0317"
481;"54;43811.0;77794.39;1.0;45.0;K0926"
482;"39;45332.0;77782.69;0.0;24.0;K0476"
483;"49;56231.0;67307.08;0.0;33.0;K0846"
484;"62;67502.0;104564.5;1.0;43.0;K0965"
485;"58;64297.0;110338.33;1.0;56.0;K0530"
486;"31;31976.0;45789.83;1.0;33.0;K0635"
487;"46;46549.0;62984.61;0.0;43.0;K1065"
488;"51;56496.0;78599.02;1.0;49.0;K0141"
489;"68;57238.0;84306.46;1.0;54.0;K0173"
490;"39;28981.0;67912.67;1.0;28.0;K0451"
491;"42;49536.0;62506.44;0.0;39.0;K0126"
492;"56;61743.0;100812.37;1.0;41.0;K0542"
493;"39;31451.0;41728.39;1.0;27.0;K0562"
494;"34;41276.0;53961.89;1.0;33.0;K0661"
495;"47;48752.0;78207.23;0.0;38.0;K1048"
496;"64;63338.0;92846.99;1.0;39.0;K0091"
497;"57;68664.0;118552.48;0.0;58.0;K1070"
498;"66;83118.0;113976.31;0.0;67.0;K0182"
499;"37;54403.0;53690.36;0.0;47.0;K0364"
500;"48;58620.0;95311.77;1.0;52.0;K0559"
501;"37;44398.0;57851.21;0.0;39.0;K0275"
502;"53;47554.0;85424.37;1.0;37.0;K0835"
503;"37;42600.0;65540.55;0.0;25.0;K0252"
504;"50;59505.0;78150.23;0.0;37.0;K0070"
505;"62;47766.0;91150.03;1.0;47.0;K0292"
506;"66;73170.0;109500.77;0.0;54.0;K0132"
507;"59;81225.0;111772.36;1.0;57.0;K0301"
508;"42;47660.0;69281.41;0.0;46.0;K0567"
509;"56;45484.0;68018.6;1.0;35.0;K0327"
510;"40;33908.0;69238.65;1.0;45.0;K0848"
511;"57;65311.0;87351.94;1.0;47.0;K0145"
512;"51;59485.0;96388.95;0.0;49.0;K0500"
513;"41;50613.0;81875.89;1.0;35.0;K0905"
514;"30;47053.0;85990.12;1.0;39.0;K1095"
515;"59;69178.0;80282.57;1.0;48.0;K0496"
516;"53;62497.0;95797.57;1.0;47.0;K0339"
517;"42;58398.0;86430.54;1.0;38.0;K0804"
518;"62;84681.0;115423.31;0.0;50.0;K0165"
519;"45;47574.0;87328.47;1.0;33.0;K0029"
520;"41;46486.0;79483.05;1.0;40.0;K0517"
521;"46;58938.0;78516.69;1.0;57.0;K0194"
522;"46;37812.0;67614.67;1.0;39.0;K0693"
523;"53;70392.0;89785.65;1.0;59.0;K0170"
524;"45;45742.0;83874.88;0.0;39.0;K0599"
525;"31;39454.0;65981.74;1.0;39.0;K0174"
526;"50;57994.0;93543.59;1.0;49.0;K0519"
527;"67;79290.0;122565.05;1.0;46.0;K0853"
528;"47;45296.0;69529.36;0.0;40.0;K0592"
529;"52;66942.0;90579.78;0.0;50.0;K0492"
530;"55;63491.0;115135.5;1.0;39.0;K0074"
531;"66;65032.0;96232.71;1.0;53.0;K0920"
532;"31;60920.0;92362.74;0.0;49.0;K0235"
533;"49;67407.0;96728.92;1.0;49.0;K0215"
534;"54;60464.0;79245.06;0.0;55.0;K0793"
535;"52;80319.0;124885.27;0.0;51.0;K0133"
536;"57;75502.0;112788.96;1.0;61.0;K0616"
537;"52;50014.0;86755.55;1.0;38.0;K0788"
538;"48;31841.0;58334.15;1.0;28.0;K0186"
539;"55;54161.0;104859.86;1.0;36.0;K0042"
540;"56;74257.0;110427.22;0.0;49.0;K0109"
541;"62;60595.0;101207.94;0.0;36.0;K0712"
542;"67;89170.0;123408.48;1.0;76.0;K1093"
543;"42;45845.0;97820.78;1.0;42.0;K0875"
544;"68;89120.0;135200.0;0.0;55.0;K0484"
545;"33;49726.0;71847.89;1.0;41.0;K0469"
546;"51;50677.0;83785.2;0.0;34.0;K0025"
547;"55;66128.0;117054.79;0.0;43.0;K0924"
548;"51;68102.0;101089.53;1.0;52.0;K0910"
549;"53;80451.0;112949.61;1.0;58.0;K0895"
550;"30;30285.0;49774.03;1.0;22.0;K0908"
551;"33;45996.0;70449.86;1.0;29.0;K0367"
552;"66;78982.0;116107.59;1.0;45.0;K0794"
553;"38;33666.0;50494.07;1.0;13.0;K0384"
554;"60;70713.0;93794.62;0.0;48.0;K0455"
555;"64;79102.0;120716.52;1.0;54.0;K0265"
556;"43;56035.0;83116.94;1.0;51.0;K0781"
557;"70;90512.0;133444.42;1.0;56.0;K0818"
558;"66;82404.0;113241.16;0.0;55.0;K0445"
559;"51;62402.0;106473.29;1.0;55.0;K0396"
560;"46;62212.0;81404.44;1.0;42.0;K0177"
561;"59;72303.0;101687.09;0.0;44.0;K0019"
562;"44;44135.0;90278.48;1.0;50.0;K0595"
563;"49;62203.0;85122.57;1.0;43.0;K0724"
564;"65;65989.0;102710.38;1.0;44.0;K0062"
565;"50;59828.0;87813.11;0.0;46.0;K0273"
566;"38;47762.0;72194.21;1.0;39.0;K1037"
567;"62;56784.0;80874.62;0.0;38.0;K0279"
568;"59;64556.0;115909.26;1.0;52.0;K0707"
569;"61;72628.0;107586.29;0.0;43.0;K0369"
570;"32;26860.0;37058.29;0.0;26.0;K0744"
571;"44;49072.0;68862.67;1.0;43.0;K0978"
572;"35;48297.0;62369.93;1.0;37.0;K0823"
573;"48;60494.0;85749.76;1.0;39.0;K0548"
574;"37;41869.0;62593.9;1.0;29.0;K0737"
575;"30;45604.0;69872.12;1.0;35.0;K0756"
576;"64;74222.0;108488.51;1.0;50.0;K0457"
577;"68;72078.0;93935.85;1.0;51.0;K0394"
578;"59;65278.0;91121.52;1.0;42.0;K0831"
579;"47;46708.0;70719.18;1.0;31.0;K1006"
580;"48;47062.0;79825.38;0.0;34.0;K0376"
581;"55;66738.0;120215.5;1.0;52.0;K0413"
582;"54;56229.0;97038.57;0.0;40.0;K0075"
583;"69;76330.0;120784.01;1.0;47.0;K1033"
584;"42;53660.0;77862.18;1.0;37.0;K0501"
585;"30;31727.0;62658.18;0.0;20.0;K0674"
586;"32;42406.0;45125.2;1.0;39.0;K0115"
587;"59;64816.0;102801.02;1.0;54.0;K0418"
588;"64;83452.0;133180.7;;62.0;K0090"
589;"53;77106.0;111716.45;1.0;51.0;K1057"
590;"54;43162.0;81298.0;1.0;34.0;K0499"
591;"45;42110.0;67204.52;1.0;33.0;K0733"
592;"33;27264.0;49485.54;1.0;15.0;K0740"
593;"65;73235.0;115599.05;0.0;40.0;K0012"
594;"58;70268.0;103403.43;1.0;48.0;K0397"
595;"39;35011.0;57408.01;0.0;32.0;K0668"
596;"69;61320.0;113385.31;1.0;50.0;K0946"
597;"31;26047.0;63491.25;1.0;24.0;K0043"
598;"61;76325.0;116425.9;1.0;45.0;K0168"
599;"62;84673.0;118973.65;1.0;57.0;K0417"
600;"57;77726.0;125762.16;0.0;56.0;K0577"
601;"63;80199.0;138366.29;0.0;70.0;K0904"
602;"48;77759.0;130352.49;0.0;42.0;K0427"
603;"58;63366.0;104762.36;1.0;49.0;K0545"
604;"44;62396.0;94641.94;0.0;43.0;K1034"
605;"45;45825.0;80681.1;1.0;42.0;K1084"
606;"35;35242.0;63070.96;1.0;34.0;K0844"
607;"54;72410.0;117491.52;1.0;53.0;K0741"
608;"54;49596.0;68169.84;0.0;40.0;K0258"
609;"55;50959.0;88240.21;1.0;46.0;K0336"
610;"51;47883.0;90273.18;1.0;45.0;K0016"
611;"70;89117.0;128700.13;0.0;63.0;K0758"
612;"52;66602.0;98756.07;;45.0;K0325"
613;"40;56643.0;96334.06;0.0;35.0;K0913"
614;"64;92461.0;105443.46;1.0;66.0;K0906"
615;"69;83089.0;136022.46;1.0;42.0;K0223"
616;"57;75347.0;111539.65;0.0;49.0;K0180"
617;"41;63780.0;90449.48;0.0;47.0;K0100"
618;"45;38876.0;78038.11;1.0;45.0;K0522"
619;"62;75575.0;124516.56;1.0;50.0;K0023"
620;"54;51135.0;95898.4;1.0;36.0;K0357"
621;"54;71828.0;99915.01;0.0;54.0;K0802"
622;"52;58284.0;93481.79;1.0;43.0;K1025"
623;"57;62292.0;99289.0;1.0;46.0;K0612"
624;"69;85191.0;134143.64;0.0;55.0;K1071"
625;"36;28194.0;33483.78;0.0;33.0;K0341"
626;"45;45178.0;70342.95;0.0;43.0;K0432"
627;"59;70484.0;107496.17;0.0;58.0;K0852"
628;"56;79765.0;117216.16;1.0;59.0;K0991"
629;"38;38681.0;65930.74;1.0;36.0;K0204"
630;"55;53760.0;93912.15;0.0;33.0;K0760"
631;"68;83716.0;125611.48;0.0;53.0;K0094"
632;"55;62026.0;79649.63;0.0;61.0;K1039"
633;"69;71612.0;116360.51;1.0;42.0;K0069"
634;"47;60658.0;87172.44;0.0;39.0;K0751"
635;"67;87141.0;147149.94;0.0;65.0;K0285"
636;"51;66558.0;115445.45;1.0;54.0;K1060"
637;"31;28390.0;59963.88;0.0;29.0;K0435"
638;"30;14993.0;33678.17;0.0;34.0;K0154"
639;"70;86939.0;132147.29;0.0;67.0;K0076"
640;"32;43734.0;49055.81;0.0;34.0;K0876"
641;"35;39852.0;63972.97;1.0;35.0;K0581"
642;"32;30856.0;27934.83;1.0;18.0;K0447"
643;"61;73383.0;105062.59;0.0;49.0;K0189"
644;"43;54023.0;67446.84;1.0;36.0;K0272"
645;"41;62190.0;72016.19;1.0;46.0;K0237"
646;"61;72690.0;101692.85;0.0;55.0;K0488"
647;"49;56341.0;83125.26;1.0;45.0;K1068"
648;"68;76627.0;106279.31;1.0;59.0;K0560"
649;"55;51515.0;78247.78;0.0;51.0;K0118"
650;"42;44684.0;87308.31;0.0;39.0;K0884"
651;"62;79791.0;101275.87;0.0;48.0;K0972"
652;"48;67677.0;94002.32;1.0;42.0;K0513"
653;"54;42499.0;75331.36;1.0;45.0;K0634"
654;"67;94092.0;135212.01;1.0;63.0;K0662"
655;"65;59789.0;96988.98;1.0;45.0;K0959"
656;"59;68591.0;85536.41;1.0;50.0;K0715"
657;"61;83098.0;116002.86;1.0;53.0;K0127"
658;"34;39181.0;41898.43;0.0;39.0;K0117"
659;"50;65573.0;99556.57;1.0;40.0;K0474"
660;"35;58918.0;82500.37;1.0;57.0;K0829"
661;"47;57101.0;79106.97;1.0;43.0;K0058"
662;"61;63590.0;86929.76;0.0;34.0;K0604"
663;"70;68456.0;111312.94;1.0;51.0;K0810"
664;"57;81401.0;113014.09;1.0;49.0;K0657"
665;"41;49301.0;68579.84;1.0;49.0;K0759"
666;"64;75171.0;112055.97;1.0;53.0;K0106"
667;"39;45869.0;80389.23;1.0;32.0;K0636"
668;"59;55669.0;84097.56;0.0;31.0;K0370"
669;"62;63275.0;110109.58;1.0;38.0;K0269"
670;"35;51440.0;76009.29;0.0;50.0;K0656"
671;"37;45467.0;75752.08;1.0;43.0;K0047"
672;"44;47183.0;70636.85;1.0;34.0;K0350"
673;"53;70100.0;107089.66;1.0;54.0;K0196"
674;"52;69175.0;103778.57;1.0;54.0;K0103"
675;"34;16069.0;36929.31;0.0;20.0;K0992"
676;"68;54974.0;83002.22;1.0;42.0;K0947"
677;"43;58063.0;93120.95;1.0;45.0;K0916"
678;"39;42008.0;69244.54;0.0;45.0;K0882"
679;"31;31826.0;61856.99;0.0;20.0;K0264"
680;"57;66921.0;95988.37;0.0;57.0;K1062"
681;"62;84548.0;110128.73;1.0;58.0;K0444"
682;"47;69003.0;102390.57;0.0;46.0;K0811"
683;"35;40901.0;66275.03;1.0;49.0;K0878"
684;"70;84543.0;128417.08;1.0;60.0;K0305"
685;"65;88138.0;123538.59;0.0;58.0;K0342"
686;"41;38996.0;66237.4;0.0;28.0;K1002"
687;"52;68820.0;88926.82;0.0;45.0;K0314"
688;"57;57191.0;96831.38;0.0;53.0;K0150"
689;"55;67004.0;114150.05;1.0;51.0;K0125"
690;"52;66760.0;103242.45;1.0;45.0;K0937"
691;"53;53504.0;98914.66;1.0;42.0;K0977"
692;"66;82882.0;127752.43;0.0;56.0;K0665"
693;"65;70352.0;92584.18;0.0;49.0;K0051"
694;"61;65481.0;95229.38;1.0;44.0;K0354"
695;"55;51720.0;98714.27;1.0;34.0;K1061"
696;"31;36296.0;35482.61;0.0;31.0;K0143"
697;"58;65705.0;102678.3;0.0;57.0;K0471"
698;"30;23521.0;24543.56;1.0;24.0;K0654"
699;"55;67168.0;95526.72;0.0;57.0;K0400"
700;"50;59847.0;95607.73;1.0;43.0;K0754"
701;"69;69084.0;107414.81;1.0;41.0;K0321"
702;"67;78468.0;123598.99;0.0;47.0;K0020"
703;"55;77056.0;118343.37;1.0;54.0;K0685"
704;"62;80910.0;108522.61;0.0;59.0;K0962"
705;"46;46834.0;71854.37;1.0;47.0;K0941"
706;"37;50552.0;83913.36;1.0;45.0;K0999"
707;"59;79812.0;112833.38;1.0;50.0;K0408"
708;"36;41243.0;55677.0;1.0;31.0;K0538"
709;"44;39771.0;72076.48;1.0;32.0;K0953"
710;"33;57513.0;62722.06;0.0;44.0;K0966"
711;"120;61857.0;104214.07;1.0;52.0;K0039"
712;"66;61785.0;108131.17;0.0;52.0;K0176"
713;"32;40729.0;54787.08;1.0;33.0;K0246"
714;"31;30097.0;59710.03;1.0;26.0;K0985"
715;"46;47322.0;73162.63;1.0;34.0;K0803"
716;"43;35922.0;51533.78;0.0;27.0;K0901"
717;"54;85929.0;129836.57;1.0;66.0;K1054"
718;"56;73496.0;94040.73;0.0;47.0;K0155"
719;"62;76582.0;124774.93;0.0;61.0;K0639"
720;"32;45882.0;78435.1;1.0;45.0;K0663"
721;"56;58547.0;99077.0;0.0;60.0;K0288"
722;"42;56364.0;66173.96;1.0;50.0;K0626"
723;"63;66387.0;112799.7;0.0;44.0;K0686"
724;"34;43401.0;58491.97;1.0;36.0;K0880"
725;"57;40164.0;77779.65;0.0;46.0;K0570"
726;"38;35130.0;52189.58;1.0;51.0;K0890"
727;"53;55741.0;83296.61;0.0;41.0;K0018"
728;"68;93769.0;137923.28;1.0;42.0;K0128"
729;"61;67757.0;107610.75;0.0;47.0;K0323"
730;"49;35194.0;65668.36;1.0;28.0;K0256"
731;"67;91461.0;131748.07;;66.0;K0790"
732;"47;40566.0;54913.08;0.0;30.0;K1087"
733;"61;68606.0;99514.15;1.0;41.0;K0191"
734;"30;45256.0;62326.68;1.0;37.0;K0116"
735;"58;60549.0;95376.05;0.0;44.0;K1081"
736;"34;40849.0;60157.5;1.0;36.0;K1013"
737;"67;80824.0;132575.6;1.0;52.0;K0607"
